# File: A_building_shell_size.csv,,,,,,,,,,,,,,,,,,,
# Title: Building shell conductance or base size overwrite,,,,,,,,,,,,,,,,,,,
# Units: Unitless,,,,,,,,,,,,,,,,,,,
# Column types: ccccnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,
xml,region,gcam.consumer,variable,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_shell_ff55mixscn.xml,France,resid EUR_d5,shell.conductance,0.945593678,0.911173222,0.893432531,0.875691841,0.85795115,0.840210362,,,,,,,,,,
policy_shell_ff55mixscn.xml,France,resid EUR_d6,shell.conductance,0.945593678,0.911173222,0.892846741,0.874520357,0.856193876,0.837867395,,,,,,,,,,
policy_shell_ff55mixscn.xml,France,resid EUR_d7,shell.conductance,0.945593678,0.911173222,0.892242721,0.87331222,0.85438172,0.835451121,,,,,,,,,,
policy_shell_ff55mixscn.xml,France,resid EUR_d8,shell.conductance,0.945593678,0.911173222,0.891557678,0.871942134,0.852326591,0.832711047,,,,,,,,,,
policy_shell_ff55mixscn.xml,France,resid EUR_d9,shell.conductance,0.945593678,0.911173222,0.890731942,0.870290662,0.849849382,0.829408103,,,,,,,,,,
policy_shell_ff55mixscn.xml,Germany,resid EUR_d1,shell.conductance,0.947417234,0.918155084,0.904983703,0.891812419,0.878641037,0.865469656,,,,,,,,,,
policy_shell_ff55mixscn.xml,Germany,resid EUR_d10,shell.conductance,0.947417234,0.918155084,0.895635349,0.873115713,0.850596077,0.828076442,,,,,,,,,,
policy_shell_ff55mixscn.xml,Germany,resid EUR_d2,shell.conductance,0.947417234,0.918155084,0.902817312,0.887479443,0.87214167,0.856803801,,,,,,,,,,
policy_shell_ff55mixscn.xml,Germany,resid EUR_d3,shell.conductance,0.947417234,0.918155084,0.901710916,0.88526665,0.868822482,0.852378216,,,,,,,,,,
policy_shell_ff55mixscn.xml,Germany,resid EUR_d4,shell.conductance,0.947417234,0.918155084,0.9009306,0.883706214,0.866481828,0.849257344,,,,,,,,,,
policy_shell_ff55mixscn.xml,Germany,resid EUR_d5,shell.conductance,0.947417234,0.918155084,0.900278456,0.882401827,0.864525198,0.846648472,,,,,,,,,,
policy_shell_ff55mixscn.xml,Germany,resid EUR_d6,shell.conductance,0.947417234,0.918155084,0.899688176,0.881221367,0.862754459,0.844287552,,,,,,,,,,
policy_shell_ff55mixscn.xml,Germany,resid EUR_d7,shell.conductance,0.947417234,0.918155084,0.899079529,0.880003973,0.860928417,0.841852763,,,,,,,,,,
policy_shell_ff55mixscn.xml,Germany,resid EUR_d8,shell.conductance,0.947417234,0.918155084,0.898389236,0.878623389,0.858857541,0.839091693,,,,,,,,,,
policy_shell_ff55mixscn.xml,Germany,resid EUR_d9,shell.conductance,0.947417234,0.918155084,0.897557173,0.876959262,0.856361351,0.83576344,,,,,,,,,,
policy_shell_ff55mixscn.xml,Greece,resid EUR_d1,shell.conductance,0.957495244,0.928727349,0.915404304,0.902081356,0.888758311,0.875435265,,,,,,,,,,
policy_shell_ff55mixscn.xml,Greece,resid EUR_d10,shell.conductance,0.957495244,0.928727349,0.905948307,0.883169364,0.860390422,0.83761148,,,,,,,,,,
policy_shell_ff55mixscn.xml,Greece,resid EUR_d2,shell.conductance,0.957495244,0.928727349,0.913212968,0.897698487,0.882184106,0.866669625,,,,,,,,,,
policy_shell_ff55mixscn.xml,Greece,resid EUR_d3,shell.conductance,0.957495244,0.928727349,0.912093832,0.895460215,0.878826698,0.862193081,,,,,,,,,,
policy_shell_ff55mixscn.xml,Greece,resid EUR_d4,shell.conductance,0.957495244,0.928727349,0.911304531,0.893881811,0.876459092,0.859036273,,,,,,,,,,
policy_shell_ff55mixscn.xml,Greece,resid EUR_d5,shell.conductance,0.957495244,0.928727349,0.910644877,0.892562405,0.874479932,0.856397361,,,,,,,,,,
policy_shell_ff55mixscn.xml,Greece,resid EUR_d6,shell.conductance,0.957495244,0.928727349,0.910047801,0.891368352,0.872688804,0.854009256,,,,,,,,,,
policy_shell_ff55mixscn.xml,Greece,resid EUR_d7,shell.conductance,0.957495244,0.928727349,0.909432145,0.89013694,0.870841736,0.851546431,,,,,,,,,,
policy_shell_ff55mixscn.xml,Greece,resid EUR_d8,shell.conductance,0.957495244,0.928727349,0.908733904,0.888740459,0.868747014,0.848753568,,,,,,,,,,
policy_shell_ff55mixscn.xml,Greece,resid EUR_d9,shell.conductance,0.957495244,0.928727349,0.90789226,0.88705717,0.866222081,0.845386991,,,,,,,,,,
policy_shell_ff55mixscn.xml,Hungary,resid EUR_d1,shell.conductance,1.067587206,1.038818004,1.019103132,0.999388357,0.979673484,0.959958709,,,,,,,,,,
policy_shell_ff55mixscn.xml,Hungary,resid EUR_d10,shell.conductance,1.067587206,1.038818004,1.007793829,0.976769653,0.945745377,0.914721201,,,,,,,,,,
policy_shell_ff55mixscn.xml,Hungary,resid EUR_d2,shell.conductance,1.067587206,1.038818004,1.016241168,0.993664331,0.971087495,0.948510658,,,,,,,,,,
policy_shell_ff55mixscn.xml,Hungary,resid EUR_d3,shell.conductance,1.067587206,1.038818004,1.014968119,0.991118234,0.967268349,0.943418562,,,,,,,,,,
policy_shell_ff55mixscn.xml,Hungary,resid EUR_d4,shell.conductance,1.067587206,1.038818004,1.013999105,0.989180107,0.964361208,0.93954221,,,,,,,,,,
policy_shell_ff55mixscn.xml,Hungary,resid EUR_d5,shell.conductance,1.067587206,1.038818004,1.013326207,0.987834411,0.962342614,0.936850817,,,,,,,,,,
policy_shell_ff55mixscn.xml,Hungary,resid EUR_d6,shell.conductance,1.067587206,1.038818004,1.012641553,0.986465003,0.960288551,0.934112001,,,,,,,,,,
policy_shell_ff55mixscn.xml,Hungary,resid EUR_d7,shell.conductance,1.067587206,1.038818004,1.012019089,0.985220273,0.958421358,0.931622542,,,,,,,,,,
policy_shell_ff55mixscn.xml,Hungary,resid EUR_d8,shell.conductance,1.067587206,1.038818004,1.011205521,0.983593039,0.955980556,0.928368073,,,,,,,,,,
policy_shell_ff55mixscn.xml,Hungary,resid EUR_d9,shell.conductance,1.067587206,1.038818004,1.010233475,0.981648947,0.953064418,0.924479889,,,,,,,,,,
policy_shell_ff55mixscn.xml,Ireland,resid EUR_d1,shell.conductance,0.923217816,0.888839072,0.876088243,0.863337508,0.850586679,0.837835851,,,,,,,,,,
policy_shell_ff55mixscn.xml,Ireland,resid EUR_d10,shell.conductance,0.923217816,0.888839072,0.867038375,0.845237775,0.823437174,0.801636574,,,,,,,,,,
policy_shell_ff55mixscn.xml,Ireland,resid EUR_d2,shell.conductance,0.923217816,0.888839072,0.873991024,0.859142881,0.844294832,0.82944669,,,,,,,,,,
policy_shell_ff55mixscn.xml,Ireland,resid EUR_d3,shell.conductance,0.923217816,0.888839072,0.872919954,0.857000741,0.841081623,0.82516241,,,,,,,,,,
policy_shell_ff55mixscn.xml,Ireland,resid EUR_d4,shell.conductance,0.923217816,0.888839072,0.872164553,0.855490129,0.838815704,0.822141185,,,,,,,,,,
policy_shell_ff55mixscn.xml,Ireland,resid EUR_d5,shell.conductance,0.923217816,0.888839072,0.871533231,0.85422739,0.836921549,0.819615613,,,,,,,,,,
policy_shell_ff55mixscn.xml,Ireland,resid EUR_d6,shell.conductance,0.923217816,0.888839072,0.870961799,0.853084621,0.835207348,0.817330075,,,,,,,,,,
policy_shell_ff55mixscn.xml,Ireland,resid EUR_d7,shell.conductance,0.923217816,0.888839072,0.870372585,0.851906097,0.83343961,0.814973028,,,,,,,,,,
policy_shell_ff55mixscn.xml,Ireland,resid EUR_d8,shell.conductance,0.923217816,0.888839072,0.869704333,0.850569594,0.831434855,0.812300116,,,,,,,,,,
policy_shell_ff55mixscn.xml,Ireland,resid EUR_d9,shell.conductance,0.923217816,0.888839072,0.868898837,0.848958602,0.829018367,0.809078132,,,,,,,,,,
policy_shell_ff55mixscn.xml,Italy,resid EUR_d1,shell.conductance,0.952443333,0.909112399,0.89607074,0.883029176,0.869987516,0.856945857,,,,,,,,,,
policy_shell_ff55mixscn.xml,Italy,resid EUR_d10,shell.conductance,0.952443333,0.909112399,0.886814455,0.86451661,0.842218764,0.819920919,,,,,,,,,,
policy_shell_ff55mixscn.xml,Italy,resid EUR_d2,shell.conductance,0.952443333,0.909112399,0.893925685,0.878738874,0.86355216,0.84836535,,,,,,,,,,
policy_shell_ff55mixscn.xml,Italy,resid EUR_d3,shell.conductance,0.952443333,0.909112399,0.892830185,0.876547875,0.860265661,0.843983351,,,,,,,,,,
policy_shell_ff55mixscn.xml,Italy,resid EUR_d4,shell.conductance,0.952443333,0.909112399,0.892057555,0.875002807,0.85794806,0.840893216,,,,,,,,,,
policy_shell_ff55mixscn.xml,Italy,resid EUR_d5,shell.conductance,0.952443333,0.909112399,0.891411833,0.873711267,0.856010701,0.838310038,,,,,,,,,,
policy_shell_ff55mixscn.xml,Italy,resid EUR_d6,shell.conductance,0.952443333,0.909112399,0.890827367,0.872542433,0.854257402,0.83597237,,,,,,,,,,
policy_shell_ff55mixscn.xml,Italy,resid EUR_d7,shell.conductance,0.952443333,0.909112399,0.890224714,0.871337029,0.852449344,0.833561561,,,,,,,,,,
policy_shell_ff55mixscn.xml,Italy,resid EUR_d8,shell.conductance,0.952443333,0.909112399,0.88954122,0.869970042,0.850398863,0.830827684,,,,,,,,,,
policy_shell_ff55mixscn.xml,Italy,resid EUR_d9,shell.conductance,0.952443333,0.909112399,0.888717352,0.868322305,0.847927257,0.82753221,,,,,,,,,,
policy_shell_ff55mixscn.xml,Latvia,resid EUR_d1,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Latvia,resid EUR_d10,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Latvia,resid EUR_d2,shell.conductance,,,,,,,,,,,,,,,,
policy_shell_ff55mixscn.xml,Latvia,resid EUR_d3,shell.conductance,,,,,,,,,,,,,,,,
