# File: A_CCap_Constraint.csv,,,,,,,,,,,,,,,,,,,,,,,
# Title: Carbon caps for specific industries,,,,,,,,,,,,,,,,,,,,,,,
# Units: MTC,,,,,,,,,,,,,,,,,,,,,,,
# Comments: For linked regions (share same market/policy/constraint) only include the constraint for one region,,,,,,,,,,,,,,,,,,,,,,,
#  If using GDP intensity base year  in GDPIntensity_BaseYear column (must be historical year); then percent change in year columns,,,,,,,,,,,,,,,,,,,,,,,
# Column types: ccccciiinnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,,
xml,market,ghgpolicy,link.type,mapping.name,year.fillout,GDPIntensity_BaseYear,adjust.year,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_GHG_constraint_2030_NDC_2020removals.xml,Central America and Caribbean,GHG,ALL_GHG_NOAGPR,,,,2025,359.4470503,336.8569778,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Central Asia,GHG,ALL_GHG_NOAGPR,,,,2025,810.2677628,837.1278718,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,China,GHG,CO2_FFI,,,,2025,12250,12163.34872,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Colombia,GHG,ALL_GHG_NOAGPR_COL,,,,2025,200,169.5,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Ukraine,GHG,ALL_GHG_NOAGPR,,,,2025,509.1012919,479,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Turkey,GHG,ALL_GHG_NOAGPR,,,,2025,736.311956,780,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Switzerland,GHG,GHG_NO_LUC_AGPR,,,,2025,437.48995,312,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,India,GHG,ALL_GHG_NOAGPR_IND,,,,2025,4500,5634.887525,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removalsNOINCLUDE.xml,Indonesia,GHG,ALL_GHG_NOAGPR,,,,2025,1683.584142,1954.0759,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Japan,GHG,GHG_NO_LUC_AGPR,,,,2025,1040,813,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Mexico,GHG,ALL_GHG_NOAGPR_MEX,,,,2025,650,644,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Middle East,GHG,ALL_GHG_NOAGPR,,,,2025,2792.054726,2604.528063,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Russia,GHG,ALL_GHG_NOAGPR_RUS,,,,2025,2120,2170,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,South Africa,GHG,ALL_GHG_NOAGPR,,,,2025,552.7570449,500,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,South America_Southern,GHG,ALL_GHG_NOAGPR,,,,2025,561.1033398,479.5323977,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,South Korea,GHG,ALL_GHG_NOAGPR,,,,2025,592.6503528,437,,,,,,,,,,,,,,
policy_GHG_constraint_2030_NDC_2020removals.xml,Southeast Asia,GHG,ALL_GHG_NOAGPR,,,,2025,2596.865212,2578.362703,,,,,,,,,,,,,,
