# File: A_InputTaxesSubsidies.csv,,,,,,,,,,,,,
# Title: Taxes/Subsidies for Specific Technologies,,,,,,,,,,,,,
# Units: 1975$/GJ,,,,,,,,,,,,,
# Comments: Positive for tax, negative for subsidy,,,,,,,,,,,,
# Column types: ccccccnnnnnnnn,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,
xml,region,supplysector,subsector,stub.technology,minicam.non.energy.input,2020,2025,2030,2035,2040,2045,2050,2100
bldeleccorr_world,Pakistan,elect_td_bld,rooftop_pv,rooftop_pv,elec-bld-calib,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
bldeleccorr_world,Russia,elect_td_bld,rooftop_pv,rooftop_pv,elec-bld-calib,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
bldeleccorr_world,South Africa,elect_td_bld,rooftop_pv,rooftop_pv,elec-bld-calib,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
bldeleccorr_world,South America_Northern,elect_td_bld,rooftop_pv,rooftop_pv,elec-bld-calib,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
bldeleccorr_world,South America_Southern,elect_td_bld,rooftop_pv,rooftop_pv,elec-bld-calib,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
bldeleccorr_world,South Asia,elect_td_bld,rooftop_pv,rooftop_pv,elec-bld-calib,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
bldeleccorr_world,South Korea,elect_td_bld,rooftop_pv,rooftop_pv,elec-bld-calib,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
bldeleccorr_world,Southeast Asia,elect_td_bld,rooftop_pv,rooftop_pv,elec-bld-calib,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
bldeleccorr_world,Taiwan,elect_td_bld,rooftop_pv,rooftop_pv,elec-bld-calib,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
bldeleccorr_world,USA,elect_td_bld,rooftop_pv,rooftop_pv,elec-bld-calib,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4
policy_fueltax_eums_fix2024,Poland,elect_td_bld,elect_td_bld,elect_td_bld,elec-tax,0.094406421,0.073311823,0.073311823,0.073311823,0.073311823,0.073311823,0.073311823,0.420386825
policy_fueltax_eums_fix2024,Austria,elect_td_bld,elect_td_bld,elect_td_bld,elec-tax,1.242189754,0.067881317,0.067881317,0.067881317,0.067881317,0.067881317,0.067881317,1.319205519
policy_fueltax_eums_fix2024,Belgium,elect_td_bld,elect_td_bld,elect_td_bld,elec-tax,0.444703932,1.603356713,1.603356713,1.603356713,1.603356713,1.603356713,1.603356713,0.167978836
policy_fueltax_eums_fix2024,Bulgaria,elect_td_bld,elect_td_bld,elect_td_bld,elec-tax,0,0,0,0,0,0,0,0.089705975
policy_fueltax_eums_fix2024,Cyprus,elect_td_bld,elect_td_bld,elect_td_bld,elec-tax,0.828126503,0.339406586,0.339406586,0.339406586,0.339406586,0.339406586,0.339406586,0
policy_fueltax_eums_fix2024,Czech Republic,elect_td_bld,elect_td_bld,elect_td_bld,elec-tax,0.091093915,0.078742328,0.078742328,0.078742328,0.078742328,0.078742328,0.078742328,0.091464916
policy_fueltax_eums_fix2024,Germany,elect_td_bld,elect_td_bld,elect_td_bld,elec-tax,1.697659331,1.391567003,1.391567003,1.391567003,1.391567003,1.391567003,1.391567003,1.80291421
policy_fueltax_eums_fix2024,Denmark,elect_td_bld,elect_td_bld,elect_td_bld,elec-tax,9.894455457,6.925930798,6.925930798,6.925930798,6.925930798,6.925930798,6.925930798,10.34872756
policy_fueltax_eums_fix2024,Estonia,elect_td_bld,elect_td_bld,elect_td_bld,elec-tax,0.370172547,0.067881317,0.067881317,0.067881317,0.067881317,0.067881317,0.067881317,0.393123245
policy_fueltax_eums_fix2024,Greece,elect_td_bld,elect_td_bld,elect_td_bld,elec-tax,0.414063251,0.339406586,0.339406586,0.339406586,0.339406586,0.339406586,0.339406586,0.193483476
policy_fueltax_eums_fix2024,Spain,elect_td_bld,elect_td_bld,elect_td_bld,elec-tax,0.795001443,0.052268614,0.052268614,0.052268614,0.052268614,0.052268614,0.052268614,0.087947035
policy_fueltax_eums_fix2024,Finland,elect_td_bld,elect_td_bld,elect_td_bld,elec-tax,1.865769011,1.529366077,1.529366077,1.529366077,1.529366077,1.529366077,1.529366077,1.98144669
policy_fueltax_eums_fix2024,France,elect_td_bld,elect_td_bld,elect_td_bld,elec-tax,1.863284632,2.176275031,2.176275031,2.176275031,2.176275031,2.176275031,2.176275031,0.131920552
policy_fueltax_eums_fix2024,Hungary,elect_td_bld,elect_td_bld,elect_td_bld,elec-tax,0.077015765,0.062450812,0.062450812,0.062450812,0.062450812,0.062450812,0.062450812,0.087947035
policy_fueltax_eums_fix2024,Croatia,elect_td_bld,elect_td_bld,elect_td_bld,elec-tax,0.083640777,0.067881317,0.067881317,0.067881317,0.067881317,0.067881317,0.067881317,0.086188094
policy_fueltax_eums_fix2024,Ireland,elect_td_bld,elect_td_bld,elect_td_bld,elec-tax,0.08281265,0.067881317,0.067881317,0.067881317,0.067881317,0.067881317,0.067881317,0.087947035
policy_fueltax_eums_fix2024,Italy,elect_td_bld,elect_td_bld,elect_td_bld,elec-tax,1.879847162,1.540905901,1.540905901,1.540905901,1.540905901,1.540905901,1.540905901,1.996397686
policy_fueltax_eums_fix2024,Lithuania,elect_td_bld,elect_td_bld,elect_td_bld,elec-tax,0.083640777,0.06856013,0.06856013,0.06856013,0.06856013,0.06856013,0.06856013,0.088826505
policy_fueltax_eums_fix2024,Luxembourg,elect_td_bld,elect_td_bld,elect_td_bld,elec-tax,0.08281265,0.067881317,0.067881317,0.067881317,0.067881317,0.067881317,0.067881317,0.087947035
policy_fueltax_eums_fix2024,Latvia,elect_td_bld,elect_td_bld,elect_td_bld,elec-tax,0.083640777,0.06856013,0.06856013,0.06856013,0.06856013,0.06856013,0.06856013,0.088826505
policy_fueltax_eums_fix2024,Malta,elect_td_bld,elect_td_bld,elect_td_bld,elec-tax,0.124218975,0.101821976,0.101821976,0.101821976,0.101821976,0.101821976,0.101821976,0.131920552
policy_fueltax_eums_fix2024,Netherlands,elect_td_bld,elect_td_bld,elect_td_bld,elec-tax,10.35158129,7.385487315,7.385487315,7.385487315,7.385487315,7.385487315,7.385487315,10.51846534
