# File: A_renewable_energy_standards.csv,,,,,,,,,,,,,,,,,,,,,,,
# Title: Policy RES coefficients; outputs; and price multipliers,,,,,,,,,,,,,,,,,,,,,,,
# Units: Varied,,,,,,,,,,,,,,,,,,,,,,,
# Comment: policy.portfolio standard is just name of policy; variable can either be 'input-coef' to define the target or 'pMultiplier' to define price multiplier,,,,,,,,,,,,,,,,,,,,,,,
# Comment: tech_mapping defines the technologies with the policy as an input; sec.out is the set of technologies that output the policy,,,,,,,,,,,,,,,,,,,,,,,
# Comment: sec.out.type defines the output ratio for the sec.out technologies; 'standard' is 1; 'electricity' is based on the coefficients (losses); 'fossil.conv' is 1 divided by efficiency,,,,,,,,,,,,,,,,,,,,,,,
# Comment: note the RES input coefficients for heat pump will be multiplied by calculated ambient heat efficiency,,,,,,,,,,,,,,,,,,,,,,,
# Column types: cccccccnnnnnnnnnnnnnnnnn,,,,,,,,,,,,,,,,,,,,,,,
# ----------,,,,,,,,,,,,,,,,,,,,,,,
xml,market,policy.portfolio.standard,variable,tech_mapping,sec.out,sec.out.type,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
policy_feres_eu_necp,France,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.175986226,0.272495528,0.406536226,0.406536226,0.406536226,0.406536226,0.406536226,0.406536226,0.406536226,0.406536226,0.406536226,0.406536226,0.406536226,0.406536226,0.406536226,0.406536226,0.406536226
policy_feres_eu_necp,Germany,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.18668377,0.281815863,0.41394377,0.41394377,0.41394377,0.41394377,0.41394377,0.41394377,0.41394377,0.41394377,0.41394377,0.41394377,0.41394377,0.41394377,0.41394377,0.41394377,0.41394377
policy_feres_eu_necp,Greece,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.237170322,0.330029392,0.459000322,0.459000322,0.459000322,0.459000322,0.459000322,0.459000322,0.459000322,0.459000322,0.459000322,0.459000322,0.459000322,0.459000322,0.459000322,0.459000322,0.459000322
policy_feres_eu_necp,Hungary,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.137368237,0.206923586,0.303528237,0.303528237,0.303528237,0.303528237,0.303528237,0.303528237,0.303528237,0.303528237,0.303528237,0.303528237,0.303528237,0.303528237,0.303528237,0.303528237,0.303528237
policy_feres_eu_necp,Ireland,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.12736637,0.255091021,0.43248637,0.43248637,0.43248637,0.43248637,0.43248637,0.43248637,0.43248637,0.43248637,0.43248637,0.43248637,0.43248637,0.43248637,0.43248637,0.43248637,0.43248637
policy_feres_eu_necp,Italy,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.185257966,0.21735657,0.261937966,0.261937966,0.261937966,0.261937966,0.261937966,0.261937966,0.261937966,0.261937966,0.261937966,0.261937966,0.261937966,0.261937966,0.261937966,0.261937966,0.261937966
policy_feres_eu_necp,Latvia,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.41820047,0.503960004,0.62307047,0.62307047,0.62307047,0.62307047,0.62307047,0.62307047,0.62307047,0.62307047,0.62307047,0.62307047,0.62307047,0.62307047,0.62307047,0.62307047,0.62307047
policy_feres_eu_necp,Lithuania,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.22938595,0.347348741,0.51118595,0.51118595,0.51118595,0.51118595,0.51118595,0.51118595,0.51118595,0.51118595,0.51118595,0.51118595,0.51118595,0.51118595,0.51118595,0.51118595,0.51118595
policy_feres_eu_necp,Luxembourg,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.178249171,0.29384266,0.454389171,0.454389171,0.454389171,0.454389171,0.454389171,0.454389171,0.454389171,0.454389171,0.454389171,0.454389171,0.454389171,0.454389171,0.454389171,0.454389171,0.454389171
policy_feres_eu_necp,Malta,FE_RES_N,input-coefficient,FE_RES_DENOM,FE_RES_NOM,standard,0.106282796,0.167269307,0.251972796,0.251972796,0.251972796,0.251972796,0.251972796,0.251972796,0.251972796,0.251972796,0.251972796,0.251972796,0.251972796,0.251972796,0.251972796,0.251972796,0.251972796
