# File: Rao_multimodel_income_deciles_DIAMOND.csv
# Title: Rao Income Deciles adjustes by DIAMOND HH data and GCAM-Europe regional aggregation
# Units: NA
# Description: Income shares for all GCAM regions
# Column types: nncncc 
# ----------
GCAM_region_ID,year,sce,shares,category,model
10,2015,SSP5,0.024348840261767,d2,PCA algorithm (Two Components)
16,2015,SSP5,0.0206746184869554,d1,PCA algorithm (Two Components)
16,2015,SSP3,0.0207388338421029,d1,PCA algorithm (Two Components)
16,2015,SSP2,0.0207067473601143,d1,PCA algorithm (Two Components)
16,2015,SSP4,0.0207318080193548,d1,PCA algorithm (Two Components)
9,2015,SSP1,0.0320884140072665,d3,PCA algorithm (Two Components)
9,2015,SSP4,0.0308434677461747,d3,PCA algorithm (Two Components)
9,2015,SSP3,0.0308194235338711,d3,PCA algorithm (Two Components)
9,2015,SSP2,0.0308362833965683,d3,PCA algorithm (Two Components)
9,2015,SSP5,0.0308820500794624,d3,PCA algorithm (Two Components)
19,2015,SSP1,0.0171314455939514,d3,PCA algorithm (Two Components)
13,2015,SSP1,0.0372238206708776,d2,PCA algorithm (Two Components)
13,2015,SSP3,0.0379309148119224,d2,PCA algorithm (Two Components)
13,2015,SSP2,0.0379309148119224,d2,PCA algorithm (Two Components)
13,2015,SSP5,0.0379309148119224,d2,PCA algorithm (Two Components)
13,2015,SSP4,0.0379309148119225,d2,PCA algorithm (Two Components)
2,2015,SSP1,0.14364180289875,d9,PCA algorithm (Two Components)
2,2015,SSP2,0.144395921503286,d9,PCA algorithm (Two Components)
2,2015,SSP3,0.144448654314855,d9,PCA algorithm (Two Components)
2,2015,SSP4,0.144356702877317,d9,PCA algorithm (Two Components)
19,2015,SSP2,0.0180128583772097,d3,PCA algorithm (Two Components)
19,2015,SSP5,0.0180128583772097,d3,PCA algorithm (Two Components)
19,2015,SSP4,0.0180128583772097,d3,PCA algorithm (Two Components)
19,2015,SSP3,0.0180128583772097,d3,PCA algorithm (Two Components)
2,2015,SSP5,0.14440855791539,d9,PCA algorithm (Two Components)
5,2015,SSP2,0.115981191007068,d8,PCA algorithm (Two Components)
5,2015,SSP5,0.115980051508962,d8,PCA algorithm (Two Components)
5,2015,SSP3,0.115958073099823,d8,PCA algorithm (Two Components)
5,2015,SSP4,0.115958651286118,d8,PCA algorithm (Two Components)
5,2015,SSP1,0.117646457901045,d8,PCA algorithm (Two Components)
3,2015,SSP2,0.0322906996467672,d1,PCA algorithm (Two Components)
3,2015,SSP4,0.0322879133954876,d1,PCA algorithm (Two Components)
3,2015,SSP5,0.0322869057936713,d1,PCA algorithm (Two Components)
3,2015,SSP3,0.0322918133130051,d1,PCA algorithm (Two Components)
3,2015,SSP1,0.0321181272761559,d1,PCA algorithm (Two Components)
21,2015,SSP1,0.0248731247131754,d2,PCA algorithm (Two Components)
12,2015,SSP1,0.0542906805105277,d5,PCA algorithm (Two Components)
12,2015,SSP5,0.0543532464199336,d5,PCA algorithm (Two Components)
12,2015,SSP3,0.0543532464199336,d5,PCA algorithm (Two Components)
12,2015,SSP4,0.0543532464199335,d5,PCA algorithm (Two Components)
12,2015,SSP2,0.0543532464199336,d5,PCA algorithm (Two Components)
24,2015,SSP1,0.0330737085310434,d3,PCA algorithm (Two Components)
24,2015,SSP4,0.0333979372416259,d3,PCA algorithm (Two Components)
24,2015,SSP5,0.0334813831215011,d3,PCA algorithm (Two Components)
24,2015,SSP3,0.0334053413252953,d3,PCA algorithm (Two Components)
24,2015,SSP2,0.0334713863554429,d3,PCA algorithm (Two Components)
21,2015,SSP5,0.0253918291972574,d2,PCA algorithm (Two Components)
21,2015,SSP3,0.025317239429778,d2,PCA algorithm (Two Components)
21,2015,SSP2,0.0253819637239405,d2,PCA algorithm (Two Components)
21,2015,SSP4,0.0252719801066126,d2,PCA algorithm (Two Components)
4,2015,SSP1,0.104758039492655,d8,PCA algorithm (Two Components)
22,2015,SSP1,0.0374246131399621,d2,PCA algorithm (Two Components)
22,2015,SSP5,0.0385707349349415,d2,PCA algorithm (Two Components)
22,2015,SSP3,0.0385707349349415,d2,PCA algorithm (Two Components)
22,2015,SSP4,0.0385707349349415,d2,PCA algorithm (Two Components)
22,2015,SSP2,0.0385707349349415,d2,PCA algorithm (Two Components)
