# File: A44.CalPrice_bld.csv
# Title: Prices by sector in the base years. Used to calibrate satiation impedance
# Units: 1975$/unit
# Source: GCAM v7.1 2015-output
# Column types: ccnnnn
# ----------
region,market,1990,2005,2010,2015
South Korea,resid others TradBio,2.45759,2.10017,2.06942,2.11713
South Korea,resid others coal,4.01634,3.93461,4.21902,4.33446
South Korea,resid others modern,14.6642,12.6981,13.8629,13.8908
Southeast Asia,comm cooling,8.8399,7.11125,7.54055,7.20899
Southeast Asia,comm heating,3.61482,3.54786,4.54355,5.76407
Southeast Asia,comm others,15.3296,14.017,16.4643,16.3292
Southeast Asia,resid cooling modern,13.1584,11.364,11.8097,11.4655
Southeast Asia,resid heating TradBio,2.43935,2.37163,2.33197,2.19417
Southeast Asia,resid heating coal,2.50725,2.29786,2.6076,2.82549
Southeast Asia,resid heating modern,8.30543,7.63752,9.39068,9.8051
Southeast Asia,resid others TradBio,2.78285,2.71513,2.67547,2.53767
Southeast Asia,resid others coal,4.09054,3.82879,4.21597,4.48834
Southeast Asia,resid others modern,14.3965,13.5852,15.9612,15.8977
Switzerland,comm cooling,8.03144,7.55782,7.49339,7.5328
Switzerland,comm heating,7.36506,7.31297,9.02614,9.46525
Switzerland,comm others,13.3543,13.3454,15.2093,15.8165
Switzerland,resid cooling modern,12.3192,11.8276,11.7607,11.8016
Switzerland,resid heating TradBio,0,1.89947,1.98899,1.95785
Switzerland,resid heating modern,8.89576,8.76287,10.3881,10.9598
Switzerland,resid others TradBio,0,2.24297,2.33249,2.30135
Switzerland,resid others coal,4.06175,3.88908,4.16954,4.28977
Switzerland,resid others modern,11.5459,11.7916,14.5856,15.3383
Taiwan,comm cooling,8.88872,7.66292,7.7186,7.39406
Taiwan,comm heating,7.52045,7.52054,10.3313,10.3435
Taiwan,comm others,16.9027,16.2929,17.2008,16.5251
Taiwan,resid cooling modern,13.2091,11.9367,11.9945,11.6576
Taiwan,resid heating modern,7.54353,7.65186,10.5783,10.9708
Taiwan,resid others coal,0,0,0,0
Taiwan,resid others modern,18.0796,16.4956,17.0504,16.4251
USA,comm cooling,7.12818,6.49464,6.55275,6.43152
USA,comm heating,5.72817,5.9744,7.29965,7.27792
USA,comm others,12.4269,12.516,13.0146,12.8785
USA,resid cooling modern,11.3674,10.7033,10.7563,10.63
USA,resid heating TradBio,0,1.87414,1.89538,1.83122
USA,resid heating coal,2.10326,0,0,0
USA,resid heating modern,5.83344,6.23798,7.33373,7.26976
USA,resid others TradBio,0,2.21764,2.23888,2.17472
USA,resid others coal,3.58556,0,0,0
USA,resid others modern,13.1513,12.6029,13.1646,12.9923
