# File: estat_nrg_d_hhq_filtered_en.csv
# Title: Disaggregated final energy consumption in households - quantities
# Units: TJ
# Source: https://ec.europa.eu/eurostat/databrowser/view/nrg_d_hhq__custom_10176508/default/table?lang=en
# Column types: cccccccnnc 
# ----------
STRUCTURE,STRUCTURE_ID,freq,nrg_bal,siec,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,IT,2017,293680.212,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,IT,2018,272727.146,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,IT,2019,272501.407,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,IT,2020,263321.802,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,IT,2021,286170.460,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LT,2017,19686.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LT,2018,21015.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LT,2019,20294.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LT,2020,20432.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LT,2021,21798.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LU,2010,792.803,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LU,2011,642.968,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LU,2012,805.549,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LU,2013,897.252,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LU,2014,1001.595,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LU,2015,1080.266,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LU,2016,1224.521,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LU,2017,1148.542,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LU,2018,1235.008,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LU,2019,908.906,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LU,2020,944.984,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LU,2021,1015.190,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LV,2010,24978.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LV,2011,26086.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LV,2012,27766.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LV,2013,24108.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LV,2014,23693.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LV,2015,19132.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LV,2016,18801.000,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LV,2017,21095.183,
dataflow,ESTAT:NRG_D_HHQ(1.0),A,FC_OTH_HH_E,RA000,TJ,LV,2018,22385.822,
