# File: estat_nrg_ind_ahbtc_filtered_en.csv
# Title: Heat pumps - ambient heat captured by technology and climate
# Units: GWh
# Source: https://ec.europa.eu/eurostat/databrowser/view/nrg_ind_ahbtc__custom_14839308/default/table?lang=en
# Column types: ccccccnnc 
# ----------
STRUCTURE,STRUCTURE_ID,freq,hp_tech,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BA,2012,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BA,2013,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BA,2014,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BA,2015,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BA,2016,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BA,2017,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BA,2018,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BA,2019,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BA,2020,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BE,2004,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BE,2005,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BE,2006,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BE,2007,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BE,2008,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BE,2009,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BE,2010,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BE,2011,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BE,2012,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BE,2013,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BE,2014,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BE,2015,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BE,2016,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BE,2017,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BE,2018,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BE,2019,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BE,2020,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BE,2021,0,
dataflow,ESTAT:NRG_IND_AHBTC(1.0),A,GTH_EW,GWH,BE,2022,0,
