# File: A44.CalPrice_bld_EUR.csv
# Title: Prices by sector in the base years. Used to calibrate satiation impedance
# Units: 1975$/unit
# Source: GCAM v7.1 2015-output
# Column types: ccnnnnn
# ----------
region,market,1990,2005,2010,2015,2021
Estonia,resid cooking modern EUR,13.2837,24.0444,23.7428,23.1649,22.6903
Estonia,resid cooling modern EUR,19.4836,18.3183,17.7659,17.5154,16.1923
Estonia,resid heating coal EUR,3.75498,3.55276,4.19649,3.91844,3.83481
Estonia,resid heating modern EUR,7.65799,8.78017,9.55294,9.62394,9.53036
Estonia,resid hot water coal EUR,3.36075,3.06955,3.99653,3.59613,3.4757
Estonia,resid hot water modern EUR,7.74255,9.52928,11.2696,11.5634,11.1806
Estonia,resid other appliance modern EUR,38.9347,37.2901,34.57,34.3266,31.4425
Estonia,resid others coal EUR,0,0,0,0,0
Estonia,resid others modern EUR,40.0009,37.2686,34.2577,33.7068,30.5705
Finland,resid cooking coal EUR,0,0,0,0,0
Finland,resid cooking modern EUR,20.1439,25.1093,25.1518,26.8741,26.3649
Finland,resid cooling modern EUR,17.0102,15.8568,15.2505,15.416,14.858
Finland,resid heating coal EUR,3.62212,3.46675,4.06604,3.85627,3.8037
Finland,resid heating modern EUR,10.6724,12.5264,12.7616,13.5318,13.4998
Finland,resid hot water coal EUR,3.16942,2.9457,3.80867,3.50661,3.43091
Finland,resid hot water modern EUR,11.8181,13.3991,14.0412,14.6,14.2574
Finland,resid other appliance modern EUR,29.3723,28.2034,27.0934,28.2138,27.2868
Finland,resid others coal EUR,0,0,0,0,0
Finland,resid others modern EUR,14.1969,18.7188,19.8346,21.3979,21.1242
France,resid cooking coal EUR,0,0,0,0,0
France,resid cooking modern EUR,13.9602,15.1284,18.1349,19.2037,18.3517
France,resid cooling modern EUR,16.713,15.6465,15.6769,15.4545,14.8371
France,resid heating coal EUR,3.6113,3.5584,4.12186,3.90257,3.80943
France,resid heating modern EUR,8.40991,9.07787,10.7724,11.1889,10.302
France,resid hot water coal EUR,3.15384,3.07768,3.88905,3.57328,3.43915
France,resid hot water modern EUR,15.8647,16.4247,18.4838,19.086,18.1215
France,resid other appliance modern EUR,28.5889,27.6061,28.3343,28.3289,27.2228
France,resid others coal EUR,0,0,0,0,0
France,resid others modern EUR,29.4465,27.6808,28.1452,27.8861,26.524
Germany,resid cooking modern EUR,27.5209,26.8146,27.251,27.2489,26.0414
Germany,resid cooling modern EUR,16.4162,15.5214,15.4465,15.2169,14.6002
Germany,resid heating coal EUR,3.50239,3.41477,3.99543,3.78803,3.71822
Germany,resid heating modern EUR,6.44077,6.74365,8.57394,9.14201,7.34586
Germany,resid hot water coal EUR,0,0,0,0,0
Germany,resid hot water modern EUR,11.4203,10.7726,12.488,12.9948,11.0303
Germany,resid other appliance modern EUR,27.8072,27.251,27.6639,27.6201,26.4945
Germany,resid others coal EUR,0,0,0,0,0
Germany,resid others modern EUR,27.9876,26.8123,27.15,26.9327,25.6268
Greece,resid cooking coal EUR,0,0,0,0,0
Greece,resid cooking modern EUR,14.8599,15.3382,18.4128,18.4524,17.2679
Greece,resid cooling modern EUR,15.7231,14.5438,14.6886,14.5066,13.4766
Greece,resid heating coal EUR,3.51264,3.3664,3.92592,3.6919,3.65552
Greece,resid heating modern EUR,7.09923,7.58131,9.61978,9.78593,8.07126
Greece,resid hot water coal EUR,0,0,0,0,0
Greece,resid hot water modern EUR,17.845,16.2895,16.8991,16.8287,15.3003
Greece,resid other appliance modern EUR,25.9817,24.4764,25.4584,25.5012,23.0407
Greece,resid others coal EUR,0,0,0,0,0
Greece,resid others modern EUR,26.7867,24.5821,25.3262,25.1417,22.5136
Hungary,resid cooking modern EUR,9.99306,11.1022,14.125,14.7422,12.0988
Hungary,resid cooling modern EUR,17.8686,16.4313,16.9319,16.2578,15.1356
Hungary,resid heating coal EUR,3.73059,3.58119,4.18694,3.90874,3.8712
Hungary,resid heating modern EUR,6.51913,6.22842,7.67473,7.42315,6.35697
Hungary,resid hot water modern EUR,15.5146,14.0785,17.1632,17.5697,15.5196
Hungary,resid other appliance modern EUR,31.633,29.8338,31.9862,30.7255,28.1402
Hungary,resid others coal EUR,0,0,0,0,0
Hungary,resid others modern EUR,32.5519,29.8864,31.725,30.2119,27.4037
Iceland,resid cooking coal EUR,0,0,0,0,0
Iceland,resid cooking modern EUR,12.5943,14.4344,17.2072,17.3738,17.6822
