# File: A44.en_consumption_shares_hp_EUR.csv
# Title: Heatpump shares across deciles
# Units: NA
# Source: BC3 - based on Prescott Morley's model
# Column types: ccccnnnnnn
# ----------
region,decile,GCAM_region_ID,consumption.category,liquidity,blend,smoothed,engel,quadratic,engel_eps
Czech Republic,d6,33,geo,0.00000,0.00919,0.06610,0.08235,0.06172,1.3588
Czech Republic,d7,33,geo,0.20731,0.19708,0.08797,0.09864,0.08050,1.3588
Czech Republic,d8,33,geo,0.22447,0.21433,0.12600,0.12244,0.11066,1.3588
Czech Republic,d9,33,geo,0.24874,0.23897,0.19787,0.16183,0.16684,1.3588
Czech Republic,d10,33,geo,0.31948,0.31246,0.36998,0.31948,0.45403,1.3588
Denmark,d1,34,geo,0.00000,0.00258,0.02540,0.02576,0.00472,1
Denmark,d2,34,geo,0.07154,0.06857,0.03647,0.04178,0.01242,1
Denmark,d3,34,geo,0.08230,0.07960,0.04860,0.05529,0.02176,1
Denmark,d4,34,geo,0.09047,0.08810,0.06107,0.06680,0.03177,1
Denmark,d5,34,geo,0.09796,0.09599,0.07541,0.07832,0.04366,1
Denmark,d6,34,geo,0.10552,0.10406,0.09278,0.09089,0.05880,1
Denmark,d7,34,geo,0.11368,0.11287,0.11428,0.10549,0.07921,1
Denmark,d8,34,geo,0.12383,0.12397,0.14297,0.12517,0.11151,1
Denmark,d9,34,geo,0.13765,0.13935,0.17892,0.15466,0.17025,1
Denmark,d10,34,geo,0.17704,0.18492,0.22411,0.25585,0.46590,1
Estonia,d1,35,geo,0.00000,0.00282,0.00375,0.00000,0.00582,6.5712
Estonia,d2,35,geo,0.00000,0.00451,0.00593,0.00001,0.01488,6.5712
Estonia,d3,35,geo,0.00000,0.00578,0.00835,0.00006,0.02441,6.5712
Estonia,d4,35,geo,0.00000,0.00687,0.01120,0.00020,0.03448,6.5712
Estonia,d5,35,geo,0.00000,0.00799,0.01515,0.00054,0.04667,6.5712
Estonia,d6,35,geo,0.00000,0.00919,0.02089,0.00135,0.06172,6.5712
Estonia,d7,35,geo,0.00000,0.01050,0.02961,0.00323,0.08050,6.5712
Estonia,d8,35,geo,0.00000,0.01231,0.04779,0.00919,0.11066,6.5712
Estonia,d9,35,geo,0.00000,0.01511,0.09877,0.03541,0.16684,6.5712
