"","sector.name","subsector.name","intermittent.technology","year","input.capital","capital.overnight","fixed.charge.rate"
"172","intermediate generation","solar","PV_int",2070,"capital",143,0.13
"173","subpeak generation","solar","PV_subpeak",2070,"capital",143,0.13
"174","peak generation","solar","PV_peak",2070,"capital",143,0.13
"175","base load generation","solar","PV_base",2075,"capital",142,0.13
"176","intermediate generation","solar","PV_int",2075,"capital",142,0.13
"177","subpeak generation","solar","PV_subpeak",2075,"capital",142,0.13
"178","peak generation","solar","PV_peak",2075,"capital",142,0.13
"179","base load generation","solar","PV_base",2080,"capital",142,0.13
"180","intermediate generation","solar","PV_int",2080,"capital",142,0.13
"181","subpeak generation","solar","PV_subpeak",2080,"capital",142,0.13
"182","peak generation","solar","PV_peak",2080,"capital",142,0.13
"183","base load generation","solar","PV_base",2085,"capital",142,0.13
"184","intermediate generation","solar","PV_int",2085,"capital",142,0.13
"185","subpeak generation","solar","PV_subpeak",2085,"capital",142,0.13
"186","peak generation","solar","PV_peak",2085,"capital",142,0.13
"187","base load generation","solar","PV_base",2090,"capital",142,0.13
"188","intermediate generation","solar","PV_int",2090,"capital",142,0.13
"189","subpeak generation","solar","PV_subpeak",2090,"capital",142,0.13
"190","peak generation","solar","PV_peak",2090,"capital",142,0.13
"191","base load generation","solar","PV_base",2095,"capital",142,0.13
"192","intermediate generation","solar","PV_int",2095,"capital",142,0.13
"193","subpeak generation","solar","PV_subpeak",2095,"capital",142,0.13
"194","peak generation","solar","PV_peak",2095,"capital",142,0.13
"195","base load generation","solar","PV_base",2100,"capital",142,0.13
"196","intermediate generation","solar","PV_int",2100,"capital",142,0.13
"197","subpeak generation","solar","PV_subpeak",2100,"capital",142,0.13
"198","peak generation","solar","PV_peak",2100,"capital",142,0.13
"199","base load generation","wind","wind_base",1975,"capital",371,0.13
"200","intermediate generation","wind","wind_int",1975,"capital",371,0.13
"201","subpeak generation","wind","wind_subpeak",1975,"capital",371,0.13
"202","peak generation","wind","wind_peak",1975,"capital",371,0.13
"203","base load generation","wind","wind_base",1990,"capital",371,0.13
"204","intermediate generation","wind","wind_int",1990,"capital",371,0.13
"205","subpeak generation","wind","wind_subpeak",1990,"capital",371,0.13
"206","peak generation","wind","wind_peak",1990,"capital",371,0.13
"207","base load generation","wind","wind_base",2005,"capital",371,0.13
"208","intermediate generation","wind","wind_int",2005,"capital",371,0.13
"209","subpeak generation","wind","wind_subpeak",2005,"capital",371,0.13
"210","peak generation","wind","wind_peak",2005,"capital",371,0.13
"211","base load generation","wind","wind_base",2010,"capital",371,0.13
"212","intermediate generation","wind","wind_int",2010,"capital",371,0.13
"213","subpeak generation","wind","wind_subpeak",2010,"capital",371,0.13
"214","peak generation","wind","wind_peak",2010,"capital",371,0.13
"215","base load generation","wind","wind_base",2015,"capital",371,0.13
"216","intermediate generation","wind","wind_int",2015,"capital",371,0.13
"217","subpeak generation","wind","wind_subpeak",2015,"capital",371,0.13
"218","peak generation","wind","wind_peak",2015,"capital",371,0.13
"219","base load generation","wind","wind_base",2021,"capital",354,0.13
"220","intermediate generation","wind","wind_int",2021,"capital",354,0.13
"221","subpeak generation","wind","wind_subpeak",2021,"capital",354,0.13
"222","peak generation","wind","wind_peak",2021,"capital",354,0.13
"223","base load generation","wind","wind_base",2025,"capital",297,0.13
"224","intermediate generation","wind","wind_int",2025,"capital",297,0.13
"225","subpeak generation","wind","wind_subpeak",2025,"capital",297,0.13
"226","peak generation","wind","wind_peak",2025,"capital",297,0.13
"227","base load generation","wind","wind_base",2030,"capital",250,0.13
"228","intermediate generation","wind","wind_int",2030,"capital",250,0.13
"229","subpeak generation","wind","wind_subpeak",2030,"capital",250,0.13
"230","peak generation","wind","wind_peak",2030,"capital",250,0.13
"231","base load generation","wind","wind_base",2035,"capital",221,0.13
"232","intermediate generation","wind","wind_int",2035,"capital",221,0.13
"233","subpeak generation","wind","wind_subpeak",2035,"capital",221,0.13
"234","peak generation","wind","wind_peak",2035,"capital",221,0.13
"235","base load generation","wind","wind_base",2040,"capital",203,0.13
"236","intermediate generation","wind","wind_int",2040,"capital",203,0.13
"237","subpeak generation","wind","wind_subpeak",2040,"capital",203,0.13
"238","peak generation","wind","wind_peak",2040,"capital",203,0.13
"239","base load generation","wind","wind_base",2045,"capital",192,0.13
"240","intermediate generation","wind","wind_int",2045,"capital",192,0.13
"241","subpeak generation","wind","wind_subpeak",2045,"capital",192,0.13
"242","peak generation","wind","wind_peak",2045,"capital",192,0.13
"243","base load generation","wind","wind_base",2050,"capital",185,0.13
"244","intermediate generation","wind","wind_int",2050,"capital",185,0.13
"245","subpeak generation","wind","wind_subpeak",2050,"capital",185,0.13
"246","peak generation","wind","wind_peak",2050,"capital",185,0.13
