"","sector.name","subsector.name","intermittent.technology","year","input.capital","capital.overnight","fixed.charge.rate","subsector.name0"
"174","peak generation","CSP_peak","CSP (dry_hybrid)",2085,"capital",473,0.13,"solar"
"175","base load generation","CSP_base","CSP (recirculating)",2090,"capital",473,0.13,"solar"
"176","base load generation","CSP_base","CSP (dry_hybrid)",2090,"capital",473,0.13,"solar"
"177","intermediate generation","CSP_int","CSP (recirculating)",2090,"capital",473,0.13,"solar"
"178","intermediate generation","CSP_int","CSP (dry_hybrid)",2090,"capital",473,0.13,"solar"
"179","subpeak generation","CSP_subpeak","CSP (recirculating)",2090,"capital",473,0.13,"solar"
"180","subpeak generation","CSP_subpeak","CSP (dry_hybrid)",2090,"capital",473,0.13,"solar"
"181","peak generation","CSP_peak","CSP (recirculating)",2090,"capital",473,0.13,"solar"
"182","peak generation","CSP_peak","CSP (dry_hybrid)",2090,"capital",473,0.13,"solar"
"183","base load generation","CSP_base","CSP (recirculating)",2095,"capital",472,0.13,"solar"
"184","base load generation","CSP_base","CSP (dry_hybrid)",2095,"capital",472,0.13,"solar"
"185","intermediate generation","CSP_int","CSP (recirculating)",2095,"capital",472,0.13,"solar"
"186","intermediate generation","CSP_int","CSP (dry_hybrid)",2095,"capital",472,0.13,"solar"
"187","subpeak generation","CSP_subpeak","CSP (recirculating)",2095,"capital",472,0.13,"solar"
"188","subpeak generation","CSP_subpeak","CSP (dry_hybrid)",2095,"capital",472,0.13,"solar"
"189","peak generation","CSP_peak","CSP (recirculating)",2095,"capital",472,0.13,"solar"
"190","peak generation","CSP_peak","CSP (dry_hybrid)",2095,"capital",472,0.13,"solar"
"191","base load generation","CSP_base","CSP (recirculating)",2100,"capital",472,0.13,"solar"
"192","base load generation","CSP_base","CSP (dry_hybrid)",2100,"capital",472,0.13,"solar"
"193","intermediate generation","CSP_int","CSP (recirculating)",2100,"capital",472,0.13,"solar"
"194","intermediate generation","CSP_int","CSP (dry_hybrid)",2100,"capital",472,0.13,"solar"
"195","subpeak generation","CSP_subpeak","CSP (recirculating)",2100,"capital",472,0.13,"solar"
"196","subpeak generation","CSP_subpeak","CSP (dry_hybrid)",2100,"capital",472,0.13,"solar"
"197","peak generation","CSP_peak","CSP (recirculating)",2100,"capital",472,0.13,"solar"
"198","peak generation","CSP_peak","CSP (dry_hybrid)",2100,"capital",472,0.13,"solar"
"199","base load generation","PV_base","PV",1975,"capital",344,0.13,"solar"
"200","intermediate generation","PV_int","PV",1975,"capital",344,0.13,"solar"
"201","subpeak generation","PV_subpeak","PV",1975,"capital",344,0.13,"solar"
"202","peak generation","PV_peak","PV",1975,"capital",344,0.13,"solar"
"203","base load generation","PV_base","PV",1990,"capital",344,0.13,"solar"
"204","intermediate generation","PV_int","PV",1990,"capital",344,0.13,"solar"
"205","subpeak generation","PV_subpeak","PV",1990,"capital",344,0.13,"solar"
"206","peak generation","PV_peak","PV",1990,"capital",344,0.13,"solar"
"207","base load generation","PV_base","PV",2005,"capital",344,0.13,"solar"
"208","intermediate generation","PV_int","PV",2005,"capital",344,0.13,"solar"
"209","subpeak generation","PV_subpeak","PV",2005,"capital",344,0.13,"solar"
"210","peak generation","PV_peak","PV",2005,"capital",344,0.13,"solar"
"211","base load generation","PV_base","PV",2010,"capital",344,0.13,"solar"
"212","intermediate generation","PV_int","PV",2010,"capital",344,0.13,"solar"
"213","subpeak generation","PV_subpeak","PV",2010,"capital",344,0.13,"solar"
"214","peak generation","PV_peak","PV",2010,"capital",344,0.13,"solar"
"215","base load generation","PV_base","PV",2015,"capital",344,0.13,"solar"
"216","intermediate generation","PV_int","PV",2015,"capital",344,0.13,"solar"
"217","subpeak generation","PV_subpeak","PV",2015,"capital",344,0.13,"solar"
"218","peak generation","PV_peak","PV",2015,"capital",344,0.13,"solar"
"219","base load generation","PV_base","PV",2021,"capital",323,0.13,"solar"
"220","intermediate generation","PV_int","PV",2021,"capital",323,0.13,"solar"
"221","subpeak generation","PV_subpeak","PV",2021,"capital",323,0.13,"solar"
"222","peak generation","PV_peak","PV",2021,"capital",323,0.13,"solar"
"223","base load generation","PV_base","PV",2025,"capital",255,0.13,"solar"
"224","intermediate generation","PV_int","PV",2025,"capital",255,0.13,"solar"
"225","subpeak generation","PV_subpeak","PV",2025,"capital",255,0.13,"solar"
"226","peak generation","PV_peak","PV",2025,"capital",255,0.13,"solar"
"227","base load generation","PV_base","PV",2030,"capital",205,0.13,"solar"
