# File: A_demand_base_food_prices.csv
# Title: Base Year Food Prices
# Units: 2005$/Mcal/day
# Description: Base year staple and nonstaple prices
# Source: GCAM Output
# Column types: ccccnn
# ----------
Units,region,nodeinput,input,year,value
2005$/Mcal/day,Africa_Northern,FoodDemand,FoodDemand_NonStaples,2010,0.329019
2005$/Mcal/day,Africa_Northern,FoodDemand,FoodDemand_Staples,2010,0.0342403
2005$/Mcal/day,Africa_Southern,FoodDemand,FoodDemand_NonStaples,2010,0.282049
2005$/Mcal/day,Africa_Southern,FoodDemand,FoodDemand_Staples,2010,0.0587669
2005$/Mcal/day,Africa_Western,FoodDemand,FoodDemand_NonStaples,2010,0.237638
2005$/Mcal/day,Africa_Western,FoodDemand,FoodDemand_Staples,2010,0.0552102
2005$/Mcal/day,Albania,FoodDemand,FoodDemand_NonStaples,2010,0.27991
2005$/Mcal/day,Albania,FoodDemand,FoodDemand_Staples,2010,0.0255244
2005$/Mcal/day,Argentina,FoodDemand,FoodDemand_NonStaples,2010,0.595002
2005$/Mcal/day,Argentina,FoodDemand,FoodDemand_Staples,2010,0.0911921
2005$/Mcal/day,Australia_NZ,FoodDemand,FoodDemand_NonStaples,2010,0.326059
2005$/Mcal/day,Australia_NZ,FoodDemand,FoodDemand_Staples,2010,0.0415698
2005$/Mcal/day,Austria,FoodDemand,FoodDemand_NonStaples,2010,0.199452
2005$/Mcal/day,Austria,FoodDemand,FoodDemand_Staples,2010,0.0367104
2005$/Mcal/day,Belarus,FoodDemand,FoodDemand_NonStaples,2010,0.226057
2005$/Mcal/day,Belarus,FoodDemand,FoodDemand_Staples,2010,0.0430345
2005$/Mcal/day,Belgium,FoodDemand,FoodDemand_NonStaples,2010,0.21567
2005$/Mcal/day,Belgium,FoodDemand,FoodDemand_Staples,2010,0.0444959
2005$/Mcal/day,Bosnia and Herzegovina,FoodDemand,FoodDemand_NonStaples,2010,0.176813
2005$/Mcal/day,Bosnia and Herzegovina,FoodDemand,FoodDemand_Staples,2010,0.0276377
2005$/Mcal/day,Brazil,FoodDemand,FoodDemand_NonStaples,2010,0.139438
2005$/Mcal/day,Brazil,FoodDemand,FoodDemand_Staples,2010,0.0251038
2005$/Mcal/day,Bulgaria,FoodDemand,FoodDemand_NonStaples,2010,0.194628
2005$/Mcal/day,Bulgaria,FoodDemand,FoodDemand_Staples,2010,0.0267514
2005$/Mcal/day,Canada,FoodDemand,FoodDemand_NonStaples,2010,0.257545
2005$/Mcal/day,Canada,FoodDemand,FoodDemand_Staples,2010,0.0343582
2005$/Mcal/day,Central America and Caribbean,FoodDemand,FoodDemand_NonStaples,2010,0.19067
2005$/Mcal/day,Central America and Caribbean,FoodDemand,FoodDemand_Staples,2010,0.0386089
2005$/Mcal/day,Central Asia,FoodDemand,FoodDemand_NonStaples,2010,0.239199
2005$/Mcal/day,Central Asia,FoodDemand,FoodDemand_Staples,2010,0.0264524
2005$/Mcal/day,China,FoodDemand,FoodDemand_NonStaples,2010,0.543411
2005$/Mcal/day,China,FoodDemand,FoodDemand_Staples,2010,0.0521243
2005$/Mcal/day,Colombia,FoodDemand,FoodDemand_NonStaples,2010,0.255931
2005$/Mcal/day,Colombia,FoodDemand,FoodDemand_Staples,2010,0.0628775
2005$/Mcal/day,Croatia,FoodDemand,FoodDemand_NonStaples,2010,0.262916
2005$/Mcal/day,Croatia,FoodDemand,FoodDemand_Staples,2010,0.0304115
2005$/Mcal/day,Cyprus,FoodDemand,FoodDemand_NonStaples,2010,0.267766
2005$/Mcal/day,Cyprus,FoodDemand,FoodDemand_Staples,2010,0.0267861
2005$/Mcal/day,Czech Republic,FoodDemand,FoodDemand_NonStaples,2010,0.176216
2005$/Mcal/day,Czech Republic,FoodDemand,FoodDemand_Staples,2010,0.0361661
2005$/Mcal/day,Denmark,FoodDemand,FoodDemand_NonStaples,2010,0.220099
