# File: OutputsByTech.csv,,,,,,,,,,
# Title: Outputs by tech used for GDP intensity policies,,,,,,,,,,
# Comments: Heavily filtered; could be even more filtered to just the needed sectors,,,,,,,,,,
# Updated August 17th with IAMCOMPACT reference scenario,,,,,,,,,,
# Units: EJ,,,,,,,,,,
# Column types: cccccnnnnnc,,,,,,,,,,
# ----------,,,,,,,,,,
region,sector,subsector,output,technology,1990,2005,2010,2015,2021,Units
China,delivered gas h2,delivered gas h2,delivered gas h2,delivered gas h2,0,0,0,0,0,EJ
Russia,delivered gas h2,delivered gas h2,delivered gas h2,delivered gas h2,0,0,0,0,0,EJ
Australia_NZ,delivered gas transport,delivered gas transport,delivered gas transport,delivered gas transport,0.00280458,0.00200928,0.00267897,0.00414405,0.00272087,EJ
China,delivered gas transport,delivered gas transport,delivered gas transport,delivered gas transport,0,0.0615304,0.282621,0.705589,1.11223,EJ
Russia,delivered gas transport,delivered gas transport,delivered gas transport,delivered gas transport,0.047007,0.00200923,0.00473004,0.00334869,0.022813,EJ
Australia_NZ,desalinated water,electricity,desalinated water,reverse osmosis,0.025032,2.50E-02,2.50E-02,0.025032,0.025032,km^3
Australia_NZ,desalinated water,gas,desalinated water,distillation,0.0032204,0.0032833,0.0032412,0.0030419,0.0028111,km^3
Australia_NZ,desalinated water,refined liquids,desalinated water,distillation,1.55E-03,0.0014847,0.0015268,0.0017261,0.0019569,km^3
China,desalinated water,electricity,desalinated water,reverse osmosis,0.0036624,0.009156,0.009156,0.009156,0.009156,km^3
China,desalinated water,gas,desalinated water,distillation,8.46E-05,3.98E-04,6.27E-04,7.60E-04,9.96E-04,km^3
China,desalinated water,refined liquids,desalinated water,distillation,6.13E-04,0.0013456,0.0011169,9.84E-04,7.48E-04,km^3
China,district heat,biomass,district heat,biomass,0,0.0160431,0.0375744,0.048994,0.0525467,EJ
China,district heat,coal,district heat,coal,0.497831,0.0755266,0.226887,0.298049,0.233061,EJ
China,district heat,gas,district heat,gas,7.30E-03,0,0,0,0,EJ
China,district heat,refined liquids,district heat,refined liquids,0.120188,0.097029,0.193063,0.157129,0.216483,EJ
Russia,district heat,biomass,district heat,biomass,0.129358,0.0778943,0.0847945,0.0744831,0.0839548,EJ
Russia,district heat,coal,district heat,coal,1.37231,0.535515,0.451467,0.351116,0.412407,EJ
Russia,district heat,gas,district heat,gas,1.93E+00,2.02445,2.08453,1.46471,1.55131,EJ
