# File: policy_tech_mappings.csv,,,
# Title: Policy technology mapping,,,
# Units: NA,,,
# Column types: cccc,,,
# ----------,,,
tech_mapping,supplysector,subsector,stub.technology
EN_CARRIER_ELEC_NF,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (seawater)
EN_CARRIER_ELEC_NF,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (recirculating)
EN_CARRIER_ELEC_NF,elec_biomass (conv CCS),biomass (conv CCS),biomass (conv CCS) (dry cooling)
EN_CARRIER_ELEC_NF,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (once through)
EN_CARRIER_ELEC_NF,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (seawater)
EN_CARRIER_ELEC_NF,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (recirculating)
EN_CARRIER_ELEC_NF,elec_biomass (IGCC CCS),biomass (IGCC CCS),biomass (IGCC CCS) (dry cooling)
EN_CARRIER_ELEC_NF,elec_Gen_III,Gen_III,Gen_III (cooling pond)
EN_CARRIER_ELEC_NF,elec_Gen_III,Gen_III,Gen_III (once through)
EN_CARRIER_ELEC_NF,elec_Gen_III,Gen_III,Gen_III (recirculating)
EN_CARRIER_ELEC_NF,elec_Gen_III,Gen_III,Gen_III (seawater)
EN_CARRIER_ELEC_NF,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (cooling pond)
EN_CARRIER_ELEC_NF,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (once through)
EN_CARRIER_ELEC_NF,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (recirculating)
EN_CARRIER_ELEC_NF,elec_Gen_II_LWR,Gen_II_LWR,Gen_II_LWR (seawater)
EN_CARRIER_FUEL,H2 central production,biomass,biomass to H2
EN_CARRIER_FUEL,H2 central production,biomass,biomass to H2 CCS
EN_CARRIER_FUEL,H2 central production,wind,electrolysis
EN_CARRIER_FUEL,H2 central production,solar,electrolysis
EN_CARRIER_FUEL,refining,biomass liquids,cellulosic ethanol
EN_CARRIER_FUEL,refining,biomass liquids,cellulosic ethanol CCS level 1
EN_CARRIER_FUEL,refining,biomass liquids,cellulosic ethanol CCS level 2
EN_CARRIER_FUEL,refining,biomass liquids,FT biofuels
EN_CARRIER_FUEL,refining,biomass liquids,FT biofuels CCS level 1
EN_CARRIER_FUEL,refining,biomass liquids,FT biofuels CCS level 2
EN_CARRIER_FUEL,refining,biomass liquids,corn ethanol
EN_CARRIER_FUEL,refining,biomass liquids,biodiesel
EN_CARRIER_FUEL,refining,biomass liquids,BTL with hydrogen
EN_CARRIER_FUEL,refining,biomass liquids,sugar cane ethanol
EN_CARRIER_FUEL,gas processing,biomass gasification,biomass gasification
FE_EED_noDH,delivered biomass,delivered biomass,delivered biomass
FE_EED_noDH,delivered coal,delivered coal,delivered coal
FE_EED_noDH,delivered biomass industry,delivered biomass industry,delivered biomass industry
FE_EED_noDH,delivered coal industry,delivered coal industry,delivered coal industry
FE_EED_noDH,wholesale gas,wholesale gas,wholesale gas
FE_EED_noDH,delivered gas,delivered gas,delivered gas
FE_EED_noDH,delivered gas transport,delivered gas transport,delivered gas transport
FE_EED_noDH,refined liquids enduse,refined liquids enduse,refined liquids enduse
FE_EED_noDH,refined liquids transport,refined liquids transport,refined liquids transport
FE_EED_noDH,refined liquids industrial,refined liquids industrial,refined liquids industrial
FE_EED_noDH,H2 retail delivery,H2 retail delivery,H2 retail delivery
FE_EED_noDH,H2 retail dispensing,H2 retail dispensing,H2 retail dispensing
FE_EED_noDH,H2 wholesale delivery,H2 liquid truck,H2 liquid truck
FE_EED_noDH,H2 wholesale delivery,H2 pipeline,H2 pipeline
FE_EED_noDH,H2 wholesale dispensing,H2 delivery,H2 liquid truck
FE_EED_noDH,H2 wholesale dispensing,H2 delivery,H2 pipeline
